# x 	 y
0 	 0
1 	 0.841471
2 	 0.909297
3 	 0.14112
4 	 -0.756802
5 	 -0.958924
6 	 -0.279415
7 	 0.656987
8 	 0.989358
9 	 0.412118
10 	 -0.544021
11 	 -0.99999
12 	 -0.536573
13 	 0.420167
14 	 0.990607
15 	 0.650288
16 	 -0.287903
17 	 -0.961397
18 	 -0.750987
19 	 0.149877


#Cubic sub-spline
# x 	 ySub 	 yCubic 	 yQuad
5.65 	 -0.516712 	 -0.589519 	 -0.593163
5.7 	 -0.475906 	 -0.548693 	 -0.553347
5.75 	 -0.436584 	 -0.506555 	 -0.511863
5.8 	 -0.399237 	 -0.463197 	 -0.468711
5.85 	 -0.364356 	 -0.418712 	 -0.42389
5.9 	 -0.332432 	 -0.373192 	 -0.3774
5.95 	 -0.303954 	 -0.326729 	 -0.329242
6 	 -0.279415 	 -0.279415 	 -0.279415
6.05 	 -0.252907 	 -0.231349 	 -0.228947
6.1 	 -0.2188 	 -0.182652 	 -0.178862
6.15 	 -0.178005 	 -0.13345 	 -0.129161
6.2 	 -0.131432 	 -0.0838706 	 -0.0798443
6.25 	 -0.0799904 	 -0.0340414 	 -0.0309117
6.3 	 -0.0245909 	 0.0159108 	 0.0176368
6.35 	 0.0338565 	 0.0658589 	 0.0658012
6.4 	 0.0944421 	 0.115676 	 0.113581
6.45 	 0.156256 	 0.165234 	 0.160978
6.5 	 0.218387 	 0.214408 	 0.20799
6.55 	 0.279927 	 0.263069 	 0.254618
6.6 	 0.339964 	 0.31109 	 0.300862
6.65 	 0.397589 	 0.358345 	 0.346722
6.7 	 0.451893 	 0.404706 	 0.392198
6.75 	 0.501964 	 0.450046 	 0.437289
6.8 	 0.546893 	 0.494238 	 0.481997
6.85 	 0.58577 	 0.537155 	 0.52632
6.9 	 0.617684 	 0.578671 	 0.57026
6.95 	 0.641727 	 0.618657 	 0.613815
7 	 0.656987 	 0.656987 	 0.656987
7.05 	 0.669457 	 0.693547 	 0.698648
7.1 	 0.685401 	 0.728278 	 0.737673
7.15 	 0.704311 	 0.761137 	 0.774062
7.2 	 0.725681 	 0.792076 	 0.807815
7.25 	 0.749007 	 0.821052 	 0.838932
7.3 	 0.773781 	 0.848018 	 0.867413
7.35 	 0.799497 	 0.872931 	 0.893258
